SystemCodeNumber,Latitude,Longitude,Capacity,LotID
BHMBCCMKT01,26.14453614,91.73617216,577,0
BHMBCCTHL01,26.14449459,91.73620513,387,1
BHMEURBRD01,26.14901995,91.7395035,470,2
BHMMBMMBX01,20.0000347,78.00000286,687,3
BHMNCPHST01,26.14001386,91.73099967,1200,4
BHMNCPNST01,26.14004753,91.73097233,485,5
Broad Street,26.13795775,91.74099445,690,6
Others-CCCPS105a,26.14747299,91.72804914,2009,7
Others-CCCPS119a,26.14754061,91.72797041,2803,8
Others-CCCPS135a,26.14749943,91.72800489,3883,9
Others-CCCPS202,26.14749053,91.72799688,2937,10
Others-CCCPS8,26.14754886,91.72799519,1322,11
Others-CCCPS98,26.14749998,91.72797778,3103,12
Shopping,26.15050395,91.73353109,1920,13
